Name,Type,Level,Rarity,Damage,Health,Energy,Sanity,Timestamp
Imp,Demonic,8,Rank 0,8d2+3,16.77,15.9,16.34,2024-07-05 09:30:11
Sapphire Drake,Dragon,10,Rank 1,10d4+1,41.4,39.79,40.18,2024-07-05 09:30:11
Ice Elemental,Elemental,4,Rank 4,4d10,43.19,38.07,39.98,2024-07-05 09:30:11
Quasit,Demonic,18,Rank 1,18d4+2,72.72,72.95,71.42,2024-07-05 09:30:11
Wyvern,Dragon,7,Rank 3,7d8+1,56.7,58.64,54.01,2024-07-05 09:30:11
Efreeti,Elemental,16,Rank 0,16d2,32.81,31.18,31.78,2024-07-05 09:30:11
Mud Spirit,Fey,13,Rank 4,13d10+1,131.48,131.24,127.83,2024-07-05 09:30:11
Pit Lord,Devilkin,4,Rank 0,4d2+2,7.35,8.42,7.07,2024-07-05 09:30:11
Dracolich,Undead,15,Rank 1,15d4+4,58.32,59.55,59.45,2024-07-05 09:30:11
Quasit,Demonic,9,Rank 0,9d2+1,17.42,18.64,17.24,2024-07-05 09:30:11
Incubus,Devilkin,1,Rank 0,1d2,2.25,1.29,1.45,2024-07-05 09:30:11
Emerald Wyrmling,Dragon,12,Rank 2,12d6+1,70.57,70.39,69.95,2024-07-05 09:30:11
Efreeti,Elemental,13,Rank 3,13d8+1,103.28,101.04,105.83,2024-07-05 09:30:11
Copper Faerie,Fey,9,Rank 0,9d2,17.37,17.37,18.78,2024-07-05 09:30:11
Mummy,Undead,11,Rank 0,11d2+1,22.25,22.95,21.5,2024-07-05 09:30:11
Lightning Elemental,Elemental,7,Rank 2,7d6+2,40.79,42.18,41.24,2024-07-05 09:30:11
Ruby Faerie,Fey,5,Rank 1,5d4+2,18.26,18.35,20.3,2024-07-05 09:30:11
Prince of Fear,Devilkin,10,Rank 2,10d6,58.78,57.2,58.99,2024-07-05 09:30:11
Ghast,Undead,1,Rank 3,1d8,5.77,10.72,9.87,2024-07-05 09:30:11
Pit Fiend,Demonic,10,Rank 3,10d8+4,79.29,80.85,79.51,2024-07-05 09:30:11
Faerie Dragon,Dragon,9,Rank 1,9d4,34.3,37.38,34.25,2024-07-05 09:30:11
Djinni,Elemental,12,Rank 1,12d4+1,48.46,47.99,48.58,2024-07-05 09:30:11
Hook Horror,Demonic,3,Rank 1,3d4+5,13.28,11.52,10.29,2024-07-05 09:30:11
